x,y,HCP2.3f30000h1,HCP4.2f30000h1,HCP6.7f10000h1
51.9,0,21.83,23.14,26.8
52,0,21.76,23.33,26.7
52.1,0,21.89,23.45,27.26
52.2,0,22.03,23.92,27.83
52.3,0,21.82,23.6,27.47
52.4,0,21.73,23.67,27.49
52.5,0,21.7,23.63,27.74
52.6,0,22,23.75,27.49
52.7,0,21.88,23.71,27.64
52.8,0,21.73,23.45,27.35
52.9,0,21.64,23.87,27.86
53,0,21.63,23.82,27.79
53.1,0,21.71,23.68,27.53
53.2,0,24.23,28.2,34.4
53.3,0,24.43,28.31,34.07
53.4,0,24.75,29.28,36.08
53.5,0,24.99,29.56,35.97
53.6,0,24.98,29.48,36.06
53.7,0,25,29.8,36.87
53.8,0,24.82,29.91,36.38
53.9,0,24.92,29.65,35.83
54,0,24.87,29.51,36.23
54.1,0,25.03,29.72,36.4
54.2,0,25.22,29.95,37.6
54.3,0,25.03,29.87,36.98
54.4,0,24.98,29.97,36.91
54.5,0,25.24,30.22,37.23
