x [m],y [m],Cond.1 [mS/m],Inph.1 [ppt],Cond.2 [mS/m],Inph.2 [ppt],Cond.3 [mS/m],Inph.3 [ppt],Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
0,0,-24.22,-0.29,-0.41,-0.47,5.56,-0.84,-1,-1,-1,-1,
0,0,-24.72,-0.32,0.4,-0.49,6.47,-0.57,-1,-1,-1,-1,
0,0,-49.65,-1.88,-5.11,-2.39,3.96,-2.76,-1,-1,-1,-1,
0,0,-75.68,-3.42,-10.33,-4.25,1.65,-4.93,-1,-1,-1,-1,
0,0,-71.42,-3.24,-9.62,-4.05,1.78,-4.84,-1,-1,-1,-1,
0,0,-63.3,-2.45,-8.97,-3.09,1.88,-3.94,-1,-1,-1,-1,
0,0,-39.5,-0.71,-4.41,-1.04,3.48,-1.66,-1,-1,-1,-1,
0,0,-31.52,-0.01,-2.78,-0.22,4.13,-0.65,-1,-1,-1,-1,
0,0,-46.21,-0.85,-5.11,-1.21,3.61,-1.78,-1,-1,-1,-1,
0,0,-86.37,-2.94,-12.7,-3.63,0.53,-4.28,-1,-1,-1,-1,
0,0,-84.03,-3.13,-11.97,-3.84,0.76,-4.71,-1,-1,-1,-1,
0,0,-61.63,-1.97,-8.48,-2.42,1.73,-3.04,-1,-1,-1,-1,
0,0,-53.12,-1.34,-6.51,-1.72,2.53,-2.36,-1,-1,-1,-1,
0,0,-39.68,-0.6,-3.7,-0.84,4.04,-1.42,-1,-1,-1,-1,
0,0,-42.15,-0.77,-4.05,-1.04,3.61,-1.58,-1,-1,-1,-1,
0,0,-48.51,-1.25,-5.83,-1.62,3.02,-2.24,-1,-1,-1,-1,
0,0,-57.9,-1.8,-6.73,-2.16,2.54,-2.73,-1,-1,-1,-1,
0,0,-28.69,-0.47,-0.84,-0.48,4.49,-1,-1,-1,-1,-1,
0,0,-16,0.11,3.5,-0.1,8.34,-1.31,-1,-1,-1,-1,
0,0,-12.33,0.52,2.58,0.61,5.86,0.18,-1,-1,-1,-1,
0,0,9.1,1.45,7.21,1.83,7.86,1.81,16.24,5.57,0.3,8.1,
0,0,31.23,2.38,11.92,2.89,9.49,2.95,1367.22,0.11,0,23.6,
0,0,-9.75,-0.09,4.31,-0.32,6.7,-0.7,-1,-1,-1,-1,
0,0,-31.25,-1.15,-0.33,-1.62,5.25,-2.17,-1,-1,-1,-1,
0,0,-37.36,-2.05,-1.51,-2.55,4.75,-3.14,-1,-1,-1,-1,
0,0,-48.09,-3.55,-4.1,-4.28,3.67,-5.05,-1,-1,-1,-1,
0,0,-46.31,-3.33,-4.56,-4.09,3.71,-4.96,-1,-1,-1,-1,
0,0,-31.25,-1.77,-3.01,-2.16,2.95,-2.85,-1,-1,-1,-1,
0,0,-32.53,-1.48,-2.88,-1.88,3.91,-2.48,-1,-1,-1,-1,
0,0,-35.21,-1.86,-2.66,-2.39,4.21,-3.11,-1,-1,-1,-1,
