x,y,HCP2.3f30000h1,HCP4.2f30000h1,HCP6.7f10000h1,VCP2.3f30000h1,VCP4.2f30000h1,VCP6.7f10000h1
36,0,4.4,10.61,13.67,19.6,11.59,9.92
36.1,0,-3.55,8.81,13.27,38.56,16.56,13.55
36.2,0,-3.89,8.7,13.02,25.51,12.63,10.17
36.3,0,8.53,11.57,14.19,24.5,12.79,10.73
36.4,0,8.67,11.19,14.1,30.66,13.54,11.1
36.5,0,6.47,11.4,14.84,25.84,12.78,10.54
36.6,0,-0.83,9.92,14.08,19.85,11.26,9.98
36.7,0,1.83,10.01,13.42,22.99,11.78,9.98
36.8,0,8.31,11.59,14.72,26.38,11.79,10.01
36.9,0,12.74,12.72,15.23,24.2,11.02,9.72
37,0,13.67,13.17,15.42,11.5,8.64,8.96
37.1,0,7.58,11.86,15.46,-4.81,6.29,8.29
37.2,0,-0.75,10.21,14.96,-18.77,3.72,7.6
37.3,0,-3.24,9.46,14.52,-14.05,5.49,8.49
37.4,0,3.9,10.11,13.56,30.34,14.05,11.74
37.5,0,9.56,11.88,14.88,50.98,17.31,12.12
37.6,0,9.31,12.06,15.12,37.57,14.65,11.23
37.7,0,1.25,10.68,14.91,18.62,11.41,9.9
37.8,0,0.17,10.75,15.12,9.41,9.63,9.28
37.9,0,4.42,11.31,14.95,9.28,9.79,9.56
38,0,9.74,12.11,15.18,34.51,14.79,11.4
38.1,0,11.76,13.12,15.85,45.59,16.3,11.95
38.2,0,7.14,12.16,15.27,35.36,13.52,10.75
38.3,0,2.92,10.93,14.45,15.82,9.07,8.68
38.4,0,-0.23,10.13,14.4,-12.1,4,7.01
38.5,0,7.07,11.52,14.5,-20.3,2.67,7.18
38.6,0,14.34,13.85,16.08,-13.59,4.46,7.66
38.7,0,10.68,12.55,15.4,7.85,8.53,9.12
38.8,0,4.75,11.82,15.17,27.47,11.72,10.1
38.9,0,4.26,11.86,14.98,15.07,8.94,8.62
39,0,4.02,11.29,15.18,-10.19,4.21,7.46
39.1,0,12.72,13.32,15.81,-21.29,2,6.57
39.2,0,14,13.4,15.21,-29.62,1.32,6.91
39.3,0,5.85,11.95,15.16,-19.16,4.74,9.48
39.4,0,1.39,11.2,15.2,7.19,8.87,9.04
39.5,0,-3.47,9.63,14.34,23.34,11.47,9.95
39.6,0,2.27,10.92,15,6.55,8.18,8.76
39.7,0,14.27,13.97,16.32,-9.1,5.07,7.66
39.8,0,10.89,13.28,15.75,-11.12,5.21,7.96
39.9,0,2.38,11.21,14.94,3.51,8.19,9.2
40,0,4.29,11.96,15.6,11.46,9.38,9.17
40.1,0,0.28,10.75,15.2,16.8,10.19,9.56
40.2,0,8,12.26,15.56,6.3,8.15,8.67
40.3,0,15.76,14.04,15.95,-0.07,6.65,7.86
40.4,0,4.86,11.46,14.72,-2.75,6.12,7.59
40.5,0,-1.19,10.95,15.09,5.48,7.52,7.49
40.6,0,4.7,12.27,15.75,9.84,8.82,8.32
40.7,0,4.94,12.21,16.35,14.83,9.9,9.41
40.8,0,11.61,13.67,16.45,4.15,7.18,8.28
40.9,0,9.17,12.68,15.43,-7.45,5.02,8.01
41,0,-4.31,10.46,14.95,-28.01,1.3,6.63
41.1,0,0.55,12.23,16.76,-24.78,2.37,6.86
41.2,0,3.83,12.18,16.17,2.44,7.7,8.79
41.3,0,7.86,12.5,15.99,20.23,11.33,10.27
41.4,0,14.23,13.75,16.18,9.59,8.99,9.51
41.5,0,8.12,13.15,16.69,5.47,8.83,9.22
41.6,0,5.46,13.02,16.88,5.39,8.77,8.88
41.7,0,11,14.47,17.99,13.35,10.97,10
41.8,0,12.52,14.61,18.39,26.02,13.68,11.01
41.9,0,15.61,15.16,18.22,38.8,15.8,11.29
42,0,13.81,14.5,17.48,28.62,13.75,10.96
42.1,0,10.22,13.93,17.08,22.92,13.11,10.88
42.2,0,10.27,14.1,17.96,32.18,14.7,11.34
42.3,0,10.26,13.86,17.58,35.2,15.2,11.2
42.4,0,12.18,13.96,17.43,25.37,12.76,10.76
42.5,0,13.94,14.97,17.8,23.47,12.03,10.14
42.6,0,11.79,14.42,18.16,27.03,12.17,10.28
42.7,0,9.34,13.76,18.27,22.54,11.11,9.99
42.8,0,9.88,13.53,17.66,-4.06,5.6,8.19
42.9,0,10.44,14.21,19,-23.2,2.39,6.94
43,0,11.52,13.98,18.11,-22.84,3.22,7.38
43.1,0,13.56,14.29,17.96,-6.59,6.61,8.48
43.2,0,12.96,14.61,18.93,28.88,14.12,11.05
43.3,0,9.42,13.46,18.11,40.39,16.32,11.61
43.4,0,8.78,13.38,17.83,28.91,14.04,11.28
43.5,0,9.22,13.52,17.97,33.57,15.13,11.81
43.6,0,10.15,13.85,18.5,34.56,15.12,11.81
43.7,0,12.43,14.52,18.86,36.72,14.97,11.51
43.8,0,11.76,14.6,19.25,36.35,14.52,10.97
43.9,0,8.21,13.98,19.16,20.81,11.2,9.95
44,0,9.16,14.95,20.56,-0.2,6.91,8.29
44.1,0,8.92,14.29,19.22,-4.41,5.72,8.27
44.2,0,9.73,14.26,19.13,-6.49,5.38,7.92
