x [m],y [m],Cond.1 [mS/m],Inph.1 [ppt],Cond.2 [mS/m],Inph.2 [ppt],Cond.3 [mS/m],Inph.3 [ppt],Inv.Cond.1 [mS/m],Inv.Cond.2 [mS/m],Inv.Thick [m],Inv.RMS [%],Note
0,0,11.63,1.9,11.06,2.75,12.28,3.79,18.6,9.97,0.2,6.3,
0,0,9.82,1.56,10.97,2.44,12.9,3.93,4.43,12.3,0.6,4.5,
0,0,9.37,1.54,10.52,2.49,12.52,3.77,4.92,17.49,2.9,5.8,
0,0,7.53,1.65,10.05,2.52,12.28,3.88,2.67,18.19,2.5,2.1,
0,0,7.86,1.86,10.18,2.69,12.4,4.11,2.7,18.36,2.5,1.4,
0,0,10.56,2.15,10.97,3.1,12.79,4.7,4.39,12.2,0.6,3.9,
0,0,10.06,1.88,10.93,2.81,12.41,4.23,4.26,11.84,0.6,2.3,
0,0,4.23,1.29,9.46,2.17,11.72,3.6,0.29,38.44,4.9,17.1,
0,0,5.3,1.3,9.9,2.24,12.57,3.66,0.32,33.66,4.2,14.4,
0,0,4.48,1.45,9.48,2.33,12,4.01,0.3,39.36,4.9,17.8,
0,0,4.97,1.62,9.64,2.42,12.13,3.97,0.3,32.48,4.2,13,
0,0,9.97,1.96,10.94,2.83,13.13,4.12,7.25,14.94,2.7,7.6,
0,0,11,1.74,10.99,2.62,12.67,3.77,9.65,12.62,3,4.1,
0,0,9.05,1.35,10.66,2.22,12.49,3.52,2.3,13.06,0.9,4.5,
0,0,9.27,1.38,11.2,2.3,12.97,3.61,2.39,13.57,0.9,3.8,
0,0,8.69,1.39,11.44,2.25,13.85,3.83,3.01,20.51,2.5,2.3,
0,0,8.24,1.58,10.66,2.31,12.9,3.67,2.81,19.1,2.5,2.1,
0,0,10.5,1.87,11.53,2.67,14.15,3.95,5.56,19.77,2.9,5.2,
0,0,11.45,1.85,11.77,2.7,13.7,3.97,4.7,13.07,0.6,4.6,
0,0,9.21,1.36,11.33,2.16,13.32,3.82,2.45,13.93,0.9,5,
0,0,8.38,1.17,11.13,1.9,13.36,3.22,2.91,19.79,2.5,2.4,
0,0,7.49,1.17,10.85,1.87,13.78,3.22,1.04,20.41,2.1,4.3,
0,0,7.42,1.42,10.63,2.09,13.55,3.65,1.02,20.07,2.1,4.1,
0,0,11.68,1.92,11.9,2.73,14.32,4.26,7.91,16.3,2.7,7.3,
0,0,13.54,2,12.68,2.93,15.1,4.68,10.03,16.83,3.1,8.7,
0,0,9.6,1.46,11.85,2.25,14.85,3.93,3.08,23.15,2.5,1.7,
0,0,5.15,0.91,10.95,1.6,14.34,2.91,0.36,47.03,4.9,18.7,
