    P+   P-        C+   C-  Normalised_Error  Observed_Rho_a  Calculated_Rho_a  Original_Weight  Final_Weight    C
   33   38         8   13       -0.11865         1124.37166     1120.04045         0.30742E+02    0.30742E+02    0
   34   39         8   13       -0.01180         1103.54223     1103.10857         0.30029E+02    0.30029E+02    0
   35   40         8   13        0.04133         1077.87865     1079.40774         0.29158E+02    0.29158E+02    0
   36   41         8   13       -0.04241         1039.24698     1037.67650         0.28045E+02    0.28045E+02    0
   37   42         8   13        0.09466          958.93922      962.39099         0.26344E+02    0.26344E+02    0
   38   43         8   13        0.03346          896.15624      897.37966         0.24528E+02    0.24528E+02    0
   39   44         8   13        0.15820          831.95889      837.83697         0.22471E+02    0.22471E+02    0
   40   45         8   13        0.20335          786.46171      794.28194         0.20551E+02    0.20551E+02    0
   41   46         8   13        0.28985          743.52792      755.18582         0.18631E+02    0.18631E+02    0
   42   47         8   13        0.41939          694.98103      712.73918         0.16622E+02    0.16622E+02    0
   43   48         8   13        0.38273          670.37615      687.58673         0.15099E+02    0.15099E+02    0
   44   49         8   13        0.47524          638.94346      661.76925         0.13539E+02    0.13539E+02    0
