,X,Y,Vel,Cov, 
674,33.1565,798.696,1290.87,1,
675,40.5778,799.043,2290.35,1,
676,21.778,798.275,1969.01,1,
677,25.5315,798.978,1135.62,1,
678,37.0008,798.671,1976.24,0,
679,49.6799,799.269,1605.1,0,
680,44.1929,798.74,1099.54,1,
681,41.8496,797.166,2420.96,1,
682,40.2134,798.591,2360.8,1,
683,26.9352,799.219,1059.82,1,
684,27.5108,799.22,1030.26,1,
685,43.1134,798.368,1563.5,1,
686,42.8173,798.486,1713.6,1,
687,43.2153,798.038,1561.02,0,
688,40.8312,798.576,2365.72,1,
689,-4.12899,799.426,682.832,1,
690,-4.05673,799.727,655.221,1,
691,-2.61321,799.68,586.521,1,
692,5.38249,799.433,573.143,0,
693,51.0878,799.083,1736.7,0,
694,8.29124,799.531,784.733,1,
695,8.66633,799.051,889.147,1,
696,0.658467,798.734,817.879,1,
697,0.965492,799.494,715.55,1,
698,1.1822,799.097,740.159,1,
699,16.5697,798.743,3402.72,1,
700,16.7362,799.123,3349.39,1,
701,18.6613,798.77,2939.98,1,
702,18.7266,799.056,2897.55,1,
703,4.5576,799.416,626.577,1,
704,4.31049,799.298,650.302,1,
705,31.7655,799.076,1152.79,1,
706,34.1985,798.628,1405.9,1,
707,29.353,798.789,1145.03,1,
708,30.1896,798.736,1192.2,1,
709,20.9596,799.143,2089.54,1,
710,21.0778,798.759,2081.37,1,
711,29.9151,799.268,1100.96,1,
712,30.1866,799.092,1126.35,1,
713,29.3531,799.182,1066.56,1,
714,28.9719,798.604,1153.26,1,
715,10.9584,799.258,1526.46,1,
716,11.215,799.172,1643.71,1,
717,35.043,798.843,1535.3,1,
718,34.8593,798.377,1587.99,1,
719,36.0248,797.423,2090.72,1,
720,39.5691,798.427,2358.45,1,
721,27.9816,798.96,1055.65,1,
722,28.9939,799.379,1017.11,1,
723,2.20155,799.572,708.179,1,
724,11.2325,798.838,1692.15,1,
725,19.0004,799.112,2814.12,1,
726,19.1427,798.885,2777.2,1,
727,6.78732,799.151,616.925,1,
728,43.3263,797.273,1661.85,0,
729,41.8731,798.994,2273.43,1,
730,41.7919,799.148,2255.29,1,
731,22.9043,798.802,1540.3,1,
732,23.5878,798.47,1446.25,1,
733,43.8186,798.297,1280.24,0,
734,49.3576,799.409,1577.82,0,
735,39.2529,798.491,2322.88,1,
736,27.2604,798.817,1098.7,1,
737,-4.74434,799.799,778.389,0,
738,50.4951,799.226,1687.4,0,
739,29.7544,798.533,1227.76,1,
740,47.1858,799.078,1284.37,0,
741,39.8423,799.012,2290.46,1,
742,44.4495,798.165,1119.35,0,
743,45.4306,798.584,954.993,0,
